序号,股票代码,股票简称,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比,公告日期
138,688618,三旺通信,-143367821.31,23.8312142182,2831933.63,1.9752923663,-147793285.7,-103.086790571,1073456.75,0.748743156,2024-10-31
139,688611,杭州柯林,-263854624.58,-27.9879337169,17643351.27,6.6867697688,-261587634.69,-99.1408185877,-19910341.16,-7.5459511811,2024-10-31
140,688606,奥泰生物,-576622805.98,-111.381503892,-84029870.64,-14.5727622578,53633221.65,9.3012661126,-558516048.92,-96.859861096,2024-10-31
141,688601,力芯微,-542162486.61,-273.4140901722,104129536.51,19.206333725,-616927366.87,-113.7901241983,-33059122.73,-6.0976411217,2024-10-31
142,688599,天合光能,6661133200.34,153.5402643474,10254623570.28,153.9471327455,-12406106966.35,-186.2461925505,8184872995.5,122.8750837032,2024-10-31
143,688596,正帆科技,-360671692.87,-316.1797500235,280718174.12,77.8320504962,-327587877.9,-90.8271661946,-317582642.44,-88.053109994,2024-10-31
144,688595,芯海科技,-93791358.27,-123.7604303818,-14220464.08,-15.1618063138,27008440.94,28.796300041,-106579702.59,-113.6348855117,2024-10-31
145,688592,司南导航,258654260.1,415.605235786,-23808705.24,-9.2048378522,-431561795.5,-166.8489029847,713766282.57,275.9538088776,2024-10-31
146,688585,上纬新材,23165607.88,133.7838837629,242235823.13,1045.6700483959,-207080638.92,-893.9141161013,-10570671.19,-45.6308819728,2024-10-31
147,688579,地纬智能,90378787.18,138.8213607473,-82309348.04,-91.07153416,192814560.22,213.3405041561,-20126425.0,-22.2689699962,2024-10-31
148,688567,孚能科技,495458144.05,184.6788981761,341902393.5,69.0073213259,-1046527694.44,-211.2242390216,1239072220.77,250.0861547338,2024-10-31
149,688566,吉贝尔,-382365915.39,-50.5850394479,95548318.75,24.9887123575,-467109350.51,-122.1629156023,-10804883.63,-2.8257967552,2024-10-31
150,688565,力源科技,-28764998.89,-29.1172987303,-32523280.63,-113.0654680515,-7090859.11,-24.6509973357,10848883.08,37.7155692635,2024-10-31
151,688562,航天软件,599021548.81,274.9159499753,-611922375.64,-102.1536498738,-27362738.71,-4.5679055727,1238306663.16,206.7215554465,2024-10-31
152,688561,奇安信,-769279988.64,53.9477418657,-1827702956.57,-237.5861823471,-163462108.98,-21.2487145635,1221885076.91,158.8348969106,2024-10-31
153,688559,海目星,-672497653.04,-423.2516576315,-779499285.4,-115.9110789274,-411500690.0,-61.1899072272,516382481.03,76.7857670128,2024-10-31
154,688558,国盛智科,261306083.07,-3.1460682916,110431466.3,42.2613453933,211872189.3,81.0819965654,-61375710.09,-23.4880525432,2024-10-31
155,688556,高测股份,85595967.86,-24.0375093917,637201338.48,744.4291529272,-1405805284.54,-1642.3732562255,851793224.15,995.1324173858,2024-10-31
156,688538,和辉光电,520286785.94,167.3871813381,-412023787.61,-79.1916686613,369518501.26,71.0220807535,560592590.19,107.7468437291,2024-10-31
157,688533,上声电子,102295895.54,55.422171795,209063221.9,204.3710754927,-417420548.79,-408.0520988516,305876100.82,299.0111179,2024-10-31
158,688526,科前生物,204910878.95,314.3774305898,445645549.29,217.4826205293,-185672702.13,-90.6114419505,-55061968.21,-26.8711785788,2024-10-31
159,688525,佰维存储,-252629764.47,-247.568740713,-1828548333.69,-723.805580679,-333403570.26,-131.9731944331,1920064832.85,760.0311217794,2024-10-31
160,688521,芯原股份,47888061.68,112.3351856508,-144192928.66,-301.1041240791,-122207792.96,-255.1946950299,309914592.02,647.1646192133,2024-10-31
161,688518,联赢激光,615624780.22,7507.3313084971,-14054506.12,-2.2829662761,-276728933.86,-44.9509088574,904740837.29,146.9630311123,2024-10-31
162,688515,裕太微,430076437.7,2103.8601647028,-116777231.37,-27.1526689522,-1115083335.89,-259.2756166446,1661400349.25,386.3035041248,2024-10-31
163,688512,慧智微,219769594.88,131.5918040576,-190101861.9,-86.5005288852,-626313013.12,-284.9861981417,1032286760.35,469.7131834427,2024-10-31
164,688511,*ST天微,-86969794.04,-264.1173141806,12986831.26,14.932576768,-109531711.07,-125.9422449818,9575085.77,11.0096682138,2024-10-31
165,688499,利元亨,-896842644.05,-196.2725150233,-819246577.76,-91.3478616561,-459826490.36,-51.2717022781,379369794.08,42.3005971668,2024-10-31
166,688489,三未信安,-277555438.95,-404.0653118655,-13650577.04,-4.9181443144,-225106122.68,-81.1031207068,-38807789.74,-13.9819957724,2024-10-31
167,688488,艾迪药业,201957258.03,205.0642372232,-109645934.14,-54.2916531991,126155628.44,62.4664989368,185526417.24,91.864198915,2024-10-31
168,688484,南芯科技,2401695545.67,3456.2430438844,89079362.61,3.7090197702,57538076.87,2.3957273424,2245063164.06,93.4782582292,2024-10-31
169,688479,友车科技,-157584501.22,59.4158980383,5236728.52,3.3231240886,-1244026151.95,-789.4343303554,1081204922.21,686.1112062668,2024-10-31
170,688458,美芯晟,371267408.17,2462.0740634266,-182871722.85,-49.2560668741,-816789290.12,-220.0002672322,1371171920.13,369.3219199845,2024-10-31
171,688456,有研粉材,-82638795.97,-18.5563238414,-46766330.01,-56.5912528868,-81982436.03,-99.2057484232,45690730.29,55.2896853756,2024-10-31
172,688455,科捷智能,107677976.17,-86.0983895141,-80989311.19,-75.2143698003,248730243.03,230.9945374877,-57733654.17,-53.6169569893,2024-10-31
173,688443,智翔金泰,2960657939.88,9729.4757311976,-278328737.69,-9.4009082894,129211045.04,4.3642679318,3109775632.53,105.0366403576,2024-10-31
174,688429,时创能源,153901781.78,230.2239119151,-189593590.12,-123.191289878,-353764212.68,-229.863623792,695080878.25,451.6392664275,2024-10-31
175,688425,铁建重工,-545998980.11,-29.0960578415,449535777.63,82.3327137973,-1149684318.19,-210.5652867627,149422689.75,27.3668441139,2024-10-31
176,688418,震有科技,-94354637.7,27.9092165361,-119649369.91,-126.8081493677,-37568593.85,-39.8163723223,64291989.27,68.1386637024,2024-10-31
177,688416,恒烁股份,-130657177.61,-114.0693426036,-104367638.58,-79.8789936298,-24828580.35,-19.0028445464,-1702054.47,-1.3026873082,2024-10-31
178,688401,路维光电,-271086710.82,-132.2314033178,107436089.1,39.6316325411,-411493673.16,-151.7941148481,33448531.86,12.3386837218,2024-10-31
179,688396,华润微,-1292219512.07,-190.3323231893,1272382877.32,98.4649175651,-4834358474.82,-374.1127904094,2215145760.75,171.4217855449,2024-10-31
180,688393,安必平,-28614146.69,75.2431812017,3210037.42,11.2183580198,-15856588.49,-55.4152065473,-15888900.14,-55.5281284888,2024-10-31
181,688391,钜泉科技,-341015777.42,-120.695652071,-36472468.74,-10.6952437849,-215944640.8,-63.3239442567,-88590150.0,-25.978314162,2024-10-31
182,688385,复旦微电,-393063089.7,-185.4803222595,-1102588369.69,-280.5118055047,-378716377.86,-96.3500231347,1096739899.23,279.0238839437,2024-10-31
183,688383,新益昌,-159397590.51,-237.5105637423,-68668492.39,-43.0800065235,-185296110.32,-116.2477486185,94567012.2,59.327755142,2024-10-31
184,688371,菲沃泰,56482174.92,-39.5190287577,6120136.04,10.8355176632,60246611.43,106.6648221591,-14712515.27,-26.0480678919,2024-10-31
185,688369,致远互联,-356634171.04,-70.9923296874,-298077248.81,-83.5806753853,-24173596.83,-6.7782615332,-34383358.96,-9.6410724917,2024-10-31
186,688363,华熙生物,-550336316.68,34.2429326254,234889218.06,42.6810317511,-378596647.34,-68.7936877624,-413827663.05,-75.1954124246,2024-10-31
187,688361,中科飞测,462522550.23,6366.467722949,16819867.44,3.6365507869,-1107016601.71,-239.3432711896,1552609584.14,335.6830025623,2024-10-31
188,688358,祥生医疗,184825770.15,-31.5061607057,47503874.22,25.7019755316,209651108.89,113.4317518168,-83931675.8,-45.4112409389,2024-10-31
189,688350,富淼科技,-259223448.15,-127.6614485762,42773738.97,16.5007213951,-241579795.5,-93.1936509695,-62602358.79,-24.149959904,2024-10-31
190,688349,三一重能,34610000.0,-99.2336294395,1120156000.0,3236.5096792834,-1980005000.0,-5720.9043629009,888035000.0,2565.8335741115,2024-10-31
191,688348,昱能科技,371797917.23,-84.8569151638,-931506235.49,-250.5410042181,440617939.95,118.5100613884,864573261.71,232.5384897665,2024-10-31
192,688339,亿华通,14080188.95,114.6430879866,-403486173.16,-2865.6303874388,-741728817.0,-5267.8896542791,1141662390.32,8108.2888473595,2024-10-31
193,688327,云从科技,111903071.81,-74.5545001045,-272689170.45,-243.6833645755,416120192.79,371.8577033314,-31530893.27,-28.1769684782,2024-10-31
194,688321,微芯生物,-155642696.17,-162.3139440322,-112013154.32,-71.9681405401,-384678576.88,-247.1549172213,339051069.7,217.8393705861,2024-10-31
195,688316,青云科技,-74363090.74,64.4041352638,-82373993.64,-110.7726868535,-16449204.4,-22.1201193177,23959971.18,32.2202465518,2024-10-31
196,688308,欧科亿,-219876253.26,-346.8757707785,-60687985.16,-27.6009729383,-572784769.98,-260.5032428412,411728098.25,187.2544634291,2024-10-31
197,688303,大全能源,-3004971189.14,-118.1489636644,10100526621.66,336.1272366991,-5571175895.16,-185.3986459269,-7534321915.88,-250.7285907801,2024-10-31
198,688300,联瑞新材,6155300.79,-81.6636963505,125191031.0,2033.8734900395,-117185978.56,-1903.8221292188,-3732096.46,-60.6322353257,2024-10-31
199,688298,东方生物,-1711620452.84,-273.8489073651,-1619675103.24,-94.6281694959,-221811053.75,-12.9591261533,35322755.53,2.063702585,2024-10-31
