序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
62,300781,因赛集团,152616478.91,207085470.31,,891089171.47,30.9599157091,49390847.85,,158119646.73,178.5399393651,17.7445368873,732969524.74,2022-04-26
63,300600,国瑞科技,235169747.71,462275499.73,196178575.86,1550519068.09,-13.2390377704,218648506.26,,666143831.57,5.0267012546,42.9626339514,884375236.52,2022-04-26
64,002629,仁智股份,76399365.79,57053861.49,10883153.8,339658306.31,1.5153227621,72225826.81,13339331.39,316289241.1,3.325277088,93.1198310844,23369065.21,2022-04-26
65,000020,深华发A,42948262.54,144703950.74,98556230.42,669050137.81,6.2216714876,131338903.49,,324688388.89,9.88595786,48.5297544296,344361748.92,2022-04-26
66,601636,旗滨集团,3787773591.83,294116148.66,1597053064.19,18987644701.01,38.1226226575,1088475213.19,,6418081535.85,29.6658540107,33.8013568134,12569563165.16,2022-04-25
67,688073,毕得医药,206545636.72,118405987.17,365083448.6,808384934.9,,143537626.48,,211166571.72,,26.1220320423,597218363.18,2022-04-24
68,300915,海融科技,246777529.87,33270364.52,116818377.95,1521799973.03,267.5072542352,51580483.08,,141663519.65,44.3773163223,9.3089448128,1380136453.38,2022-04-22
69,002688,金河生物,583816082.76,300119377.23,511114559.73,3908191097.09,19.1666886939,82686709.08,430.1,1268659367.74,-17.1601111217,32.4615489935,2639531729.35,2022-04-22
70,001287,中电港,1883362291.7,7380922175.8,6557646316.41,18283822528.58,,2902559465.37,,15958446089.85,,87.2817818315,2325376438.73,2022-04-21
71,688072,拓荆科技,805305025.1,122271243.23,978388317.42,2345298917.71,,264405225.33,,1165023796.85,,49.6748533013,1180275120.86,2022-04-14
72,688401,路维光电,128558646.56,126985717.9,95897062.87,1308047741.05,,161857161.34,,797074537.46,,60.9361961682,510973203.59,2022-04-12
73,300785,值得买,756094342.43,309377537.04,28829687.24,2062474882.1,87.5959079262,52764503.91,,326945096.55,37.1922167824,15.8520765216,1735529785.55,2022-04-11
74,001388,信通电子,150089872.97,173009831.57,250311225.66,699441912.44,,108461181.76,,289950676.27,,41.4545755856,409491236.17,2022-04-08
75,301580,爱迪特,116534660.34,176453167.66,141238672.1,887194260.68,,33899901.91,,123731467.22,,13.946378229,763462793.46,2022-04-07
76,000886,海南高速,964405412.99,9591443.63,409633721.15,3162586646.03,-3.5854262601,67927336.77,1809557.53,325675587.53,-28.2649914453,10.2977601559,2836911058.5,2022-04-02
77,688525,佰维存储,419198010.3,144556396.46,1451320056.25,2722665175.51,,376477180.8,,904408664.61,,33.217770321,1818256510.9,2022-03-31
78,301588,美新科技,88748175.13,135439219.6,160032626.14,626832008.48,,68453111.01,,276487766.83,,44.1087505248,350344241.65,2022-03-31
79,301268,铭利达,34028167.32,447094011.66,305526167.57,1798478851.16,,412436854.5,,1048852303.45,,58.3188566701,749626547.71,2022-03-31
80,300485,赛升药业,394967167.05,101783781.71,138528681.51,3049625209.29,3.3607927405,22442638.55,,98232663.74,-20.5693296367,3.2211388941,2951392545.55,2022-03-31
81,300456,赛微电子,2881540060.96,165871827.97,136202370.58,7300459559.04,72.9616956253,50972531.68,,1307729153.31,57.0960029633,17.9129703101,5992730405.73,2022-03-31
82,300110,华仁药业,564270764.78,1021222967.64,301499664.82,5782198143.15,101.1382062104,142761245.58,,3352453883.74,475.5520612355,57.9788827837,2429744259.41,2022-03-31
83,688371,菲沃泰,39598257.57,68116844.96,107345602.56,662136430.52,,86395162.73,3977779.12,246505387.6,,37.2287909618,415631042.92,2022-03-30
