序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
63,002264,新华都,147157861.83,1.17,1858438102.67,-10.9829669771,1440062967.98,220171533.94,47357121.98,-3266924.39,1719519987.33,167496641.1,167430194.15,2025-09-16
64,000972,*ST中基,-74703147.78,-733.000359742587,244933320.27,-0.0800574179,254130852.32,2815251.94,42331317.46,22713930.91,324965419.94,-75310583.61,-75181479.37,2025-09-13
65,301563,云汉芯城,53920417.77,40.65,1440045682.91,17.8170524741,1202406014.49,115243968.64,26399514.82,5848496.2,1374722939.0,63249577.94,62536518.18,2025-09-11
66,001285,瑞立科密,141701777.26,17.8,1080302948.39,19.1208781559,778967361.95,31518359.12,42839012.16,-9275695.32,907467685.72,166304109.14,165642838.61,2025-09-11
67,688085,三友医疗,36600784.63,2083.64,249760157.28,17.7691196736,68020596.43,78387511.07,28545929.63,-3888853.26,211662677.74,37142011.24,40424190.71,2025-09-09
68,605081,*ST太和,-57076621.4,-185.89,33050870.88,-56.0174588697,35165993.27,6970422.56,42322641.77,1799019.82,90539616.53,-53438587.4,-55935657.19,2025-09-09
69,002494,华斯股份,-9270402.1,-235.26,154943770.15,-39.5206230567,107998288.31,32903623.29,19006214.21,1439140.08,167602609.07,-10942913.22,-11092106.62,2025-09-09
70,301656,联合动力,549012658.35,92.91,9148057254.39,51.0750317005,7617400943.42,65302966.95,241746160.0,-14349302.04,8576278269.49,567073706.42,566573769.68,2025-09-05
71,301584,建发致新,137035825.84,42.336624806944,9828903137.14,12.1849914673,9049963892.37,277413887.14,97935116.26,70118004.34,9522501457.87,239509569.6,238322941.79,2025-09-05
72,603418,友升股份,221475700.93,50.07,2176017165.53,30.757483517,1752035890.64,12399629.4,67032963.56,19899859.46,1934188656.91,248231754.72,247291827.42,2025-09-04
73,300555,ST路通,-21866801.79,4.18,42756574.07,-25.8830933651,36385821.31,6038059.05,16914365.88,-621025.68,70848587.52,-26400371.73,-26058491.68,2025-09-01
74,688799,华纳药厂,71115505.1,-36.95,713712049.73,-3.3688879064,278083767.97,241256401.41,48230141.92,-5710993.65,644841020.86,75892847.81,75222005.08,2025-08-30
75,688789,宏华数科,250519507.48,25.15,1037608282.78,27.1636912575,583196353.32,70822741.76,53461999.24,-26115754.72,754612688.9,303991484.0,304654969.34,2025-08-30
76,688787,海天瑞声,3804614.95,813.65,156695948.86,69.535957447,78077374.32,16330346.21,27963028.26,-473565.46,153182383.03,932464.63,1110462.32,2025-08-30
77,688777,中控技术,354082592.15,-31.46,3830244462.48,-9.9226225764,2601492096.26,350736636.27,186833487.01,-20680940.86,3562369056.02,375879497.61,377427640.98,2025-08-30
78,688750,金天钛业,40534162.09,-49.71,317588369.67,-22.3843382063,208601231.56,9157779.09,20772803.96,2341424.96,274808917.47,42727772.36,42733316.72,2025-08-30
79,688737,中自科技,-11919741.79,-313.86,780386808.82,5.6457383511,683324467.98,27120556.0,25553109.76,6774536.55,805327241.32,-14232004.98,-16599555.87,2025-08-30
80,688722,同益中,66476331.18,41.13,482719950.2,89.6959384917,331967458.51,9362695.15,28422241.84,2007016.55,402173177.31,81980273.09,81679840.26,2025-08-30
81,688693,锴威特,-33223904.29,-18.333292984713,111030036.59,92.657955621,71495664.98,10435100.52,21223827.13,-755428.3,137908010.56,-35234264.55,-35234280.94,2025-08-30
82,688681,科汇股份,16134939.91,170.15,208735576.24,22.7270252679,118574467.16,32556291.78,18391641.97,395049.25,197014773.49,17495518.12,17465267.14,2025-08-30
83,688680,海优新材,-133159964.54,3.652965049616,633132126.71,-57.4659213374,642112113.45,5574768.41,34641830.99,25999206.7,748771050.68,-123812858.76,-123109197.72,2025-08-30
84,688651,盛邦安全,-36408012.47,-94.803096010837,105516308.16,10.9772549713,30396149.66,65698776.93,17064703.08,-577902.88,154034905.99,-42750735.22,-43711431.64,2025-08-30
85,688633,星球石墨,46666368.69,-24.5,310400180.14,5.7730880468,205389289.87,8911080.13,16821648.34,13338988.07,269698538.11,54401266.69,54284110.34,2025-08-30
86,688627,精智达,30586974.25,-19.94,443629512.54,22.6836283278,283690724.55,34340114.97,27517671.42,-4720847.9,403958335.61,27749378.44,27946505.44,2025-08-30
87,688613,奥精医疗,7975343.63,-13.52,100036945.54,-0.2034524672,36896965.89,22703352.26,28655445.67,932779.19,107505776.0,5508387.86,5537719.72,2025-08-30
88,688611,杭州柯林,17857863.7,-44.31,117814748.08,-51.4934080242,54200830.92,9462338.14,11648286.34,-236531.14,96193595.28,19241510.73,19218716.9,2025-08-30
89,688609,九联科技,-123150321.72,-126.209823777422,1101319525.95,-17.6034536206,992699941.95,63080437.9,51313284.7,22160612.13,1213488211.03,-142333723.78,-143370105.31,2025-08-30
90,688606,奥泰生物,132012694.61,6.57,429850024.75,8.4101826727,186926166.19,38436383.21,34605227.94,-13092384.58,299110577.78,152580872.91,152107387.74,2025-08-30
91,688601,力芯微,16679986.21,-78.72,351392747.88,-14.6224487057,206609575.53,27161255.74,22105796.94,-4859003.86,347066867.46,6459242.91,6112100.11,2025-08-30
92,688596,正帆科技,94240854.86,-10.2,2016868258.75,8.8828035202,1538718131.78,47837692.5,170379775.14,32834599.52,1959040036.68,73270528.92,72476816.06,2025-08-30
93,688590,新致软件,30353059.13,42.84,897090773.93,-3.400495484,639799140.55,59928896.01,60628179.3,24841387.8,874177991.54,20448158.21,20024987.4,2025-08-30
94,688586,江航装备,36601412.34,-64.86,471940180.3,-20.395346294,336491880.58,4276276.88,55069127.21,-11391454.84,429006516.72,40822569.6,39298385.44,2025-08-30
95,688584,上海合晶,59711195.54,23.86,625083628.45,15.2642943303,448075487.56,5558027.73,55617670.59,-8277652.79,560813149.25,65792119.38,66313319.65,2025-08-30
96,688576,西山科技,34382000.32,-41.62,155035804.26,2.3984100118,53793039.41,35602161.17,17200142.75,-6604366.46,127200193.67,35286594.51,35320769.21,2025-08-30
97,688573,信宇人,-72406400.79,-70.955528424043,86476623.44,-45.5666546074,81108518.32,8126268.88,22838627.93,4772572.07,147720711.13,-82689426.86,-83035739.85,2025-08-30
98,688567,孚能科技,-161964130.54,14.918332545596,4353161400.63,-37.5791913664,3787874453.05,85492565.24,291352794.21,12833705.13,4491184081.64,-159768346.29,-157593539.2,2025-08-30
99,688566,吉贝尔,149315688.0,22.38,454915098.99,4.9009161288,46451117.42,225519717.98,32761613.47,-2066512.66,329276641.7,124882002.85,173382281.81,2025-08-30
100,688553,汇宇制药,-80720507.81,-223.78,453118838.7,-14.859680877,93324746.27,173514766.45,41580805.16,-32155860.25,429857375.39,-106348071.78,-105004897.27,2025-08-30
101,688539,高华科技,30935145.36,1.03,184321577.14,16.5989768597,92534778.61,4128146.07,17427486.99,-835471.22,149437798.11,31153929.45,31142300.42,2025-08-30
102,688531,日联科技,82793599.91,7.8,460391403.08,38.3355283292,257286347.44,52657665.34,39677349.98,-5093491.47,403316209.74,90722383.93,90721305.04,2025-08-30
103,688530,欧莱新材,-6958812.85,-144.65,217442763.77,1.2257764655,190726402.36,7476922.12,19358094.85,4474022.48,234486785.15,-10127305.58,-10231214.3,2025-08-30
104,688515,裕太微,-104208010.11,3.892692468595,221828689.43,43.4146463107,126896036.13,22782402.81,33454619.81,-1540924.31,337375842.61,-104264965.23,-104208010.11,2025-08-30
105,688502,茂莱光学,32755541.82,110.36,318951190.62,32.2607455736,160577837.19,14632782.25,55891171.08,-3899968.49,271992198.51,37418505.68,35973496.32,2025-08-30
106,688498,源杰科技,46263909.26,330.31,204950879.23,70.5665881143,104938904.67,10892123.72,14589510.81,-7491208.82,151288504.41,50333341.01,50342987.59,2025-08-30
107,688478,晶升股份,-7450941.96,-121.29,158390552.59,-20.2899997662,152257882.81,2593610.27,14040114.41,-342535.22,189893017.68,-11690777.45,-11730549.49,2025-08-30
108,688468,科美诊断,24340830.76,-68.24,164615385.76,-27.0276767749,53161388.58,31173715.67,22346481.33,-1156093.44,143896966.91,27708921.24,27830784.93,2025-08-30
109,688455,科捷智能,-37277125.86,12.080175546746,491853535.48,2.2381508694,385224246.86,37476842.92,63576017.03,1054030.57,547782471.27,-51097410.24,-51095057.31,2025-08-30
110,688443,智翔金泰,-289288443.59,20.07130794857,45391789.33,358429.646681737,7602742.65,106707764.31,30761088.12,-5924132.82,361441972.76,-289085811.79,-289288443.59,2025-08-30
111,688391,钜泉科技,37485246.01,-33.34,272078574.43,-11.3890295024,160168695.79,2303779.31,19818438.5,-691635.0,273719007.04,29802740.02,29826555.78,2025-08-30
112,688380,中微半导,86469564.21,100.99,503960869.02,17.5597874002,336372443.64,9883712.54,23297428.37,2087979.93,426651075.29,93617887.69,90572341.98,2025-08-30
113,688379,华光新材,123211716.56,174.02,1206223590.12,39.0253233496,1072761512.76,9565804.27,26089161.82,18885773.07,1162135924.72,141135541.2,140053647.82,2025-08-30
114,688376,美埃科技,98019048.42,5.53,934915677.55,23.5052740522,676532473.69,59226307.32,55610173.24,7039120.49,841643663.53,100184655.27,119667486.3,2025-08-30
115,688357,建龙微纳,48678075.41,4.91,378074183.65,0.3294145157,258978756.34,10463368.19,39850777.22,-2225598.43,330590867.03,55104678.42,54275717.48,2025-08-30
116,688355,明志科技,43607017.0,2.2,252042560.09,-14.7591815078,173495920.72,6057401.44,36736652.14,-19195703.84,232778751.22,47315296.51,47187810.49,2025-08-30
117,688348,昱能科技,79136190.79,-9.88,651352491.47,-27.5445152393,473547476.99,62621637.39,38814057.99,-91648305.54,544034314.5,86636544.89,85717076.39,2025-08-30
118,688336,三生国健,190322400.0,46.96,642013400.0,7.6084815838,191328600.0,94617600.0,42600100.0,-33962900.0,484508800.0,189718300.0,186218300.0,2025-08-30
119,688327,云从科技,-229817785.8,35.507229618558,168985600.58,40.2139815554,105225880.19,59962050.95,106945821.42,-3789570.98,388431852.33,-239020219.86,-234841245.36,2025-08-30
120,688318,财富趋势,107027942.79,6.61,132925196.0,-9.9587018115,27208591.6,2925644.55,4526102.6,-11855907.07,64246794.71,118501075.22,118438899.37,2025-08-30
121,688307,中润光学,20564573.58,0.98,249729223.47,29.7295004808,168986761.95,5545883.19,27863643.23,-3344184.75,230395854.42,22170312.91,22083473.3,2025-08-30
122,688297,中无人机,31773301.92,182.76,438687897.71,61.2739702308,322226971.84,9251345.15,55905779.56,-15090442.62,416280613.81,27052226.11,26911589.39,2025-08-30
123,688289,圣湘生物,162719731.21,3.84,868620485.26,21.1536839009,232065994.95,276486681.39,104996177.22,-34550937.14,702919097.81,191549753.11,170608533.67,2025-08-30
124,688276,百克生物,-73573428.04,-153.47,284896170.67,-53.9302075872,61615318.48,165564616.26,57540332.9,471067.3,382049170.48,-107964571.97,-99605999.47,2025-08-30
125,688275,万润新能,-265778095.45,34.277617121811,4435890400.01,50.4888978438,4360525286.94,19306652.77,160645803.82,117104328.91,4812906876.39,-327034913.96,-326206262.66,2025-08-30
126,688272,富吉瑞,-19915206.45,-307.01,115057955.74,-28.3276230009,73369271.94,5486937.75,23186471.18,1143908.49,126023429.76,-20640049.36,-20640484.92,2025-08-30
127,688271,联影医疗,998018064.12,5.03,6015901402.16,12.7949171817,3132664301.76,938304878.27,257182484.27,-49616563.05,5075101040.91,1076930298.74,1072972130.74,2025-08-30
128,688248,南网科技,174561890.49,-5.38,1405143835.62,-9.6634137704,954269111.71,46129682.86,104264673.15,-5254670.48,1200926759.42,196741778.95,196688769.98,2025-08-30
129,688239,航宇科技,90303633.92,-12.76,914030144.41,-8.711920738,670751219.72,16348094.04,50894899.88,10497656.49,792795294.57,107853406.48,107581971.22,2025-08-30
130,688236,春立医疗,114469490.87,44.85,487596405.66,28.2707687729,160472617.89,96267759.62,28394457.44,-6743274.5,333777775.81,127313219.41,127312520.25,2025-08-30
131,688235,百济神州,449784000.0,115.631671630079,17518269000.0,46.0293107786,2317150000.0,5021371000.0,2138952000.0,10467000.0,16821863000.0,798940000.0,796767000.0,2025-08-30
132,688234,天岳先进,10880178.5,-89.32,793805202.95,-12.9821041699,647322687.22,13498119.85,82360267.2,-15813.97,825705623.85,7151675.16,7599604.1,2025-08-30
133,688221,前沿生物,-97352610.68,39.328698754587,58639825.88,14.853854487,40468036.68,37676114.99,32416374.22,-891093.99,159170063.11,-97148403.94,-97352610.68,2025-08-30
134,688219,会通股份,105113203.48,10.19,3021022276.79,10.6278622213,2610778430.27,77299690.24,86906124.09,35569902.51,2966841022.85,110219914.97,110268747.15,2025-08-30
135,688218,江苏北人,-23718160.14,-234.24,206233206.78,-28.2452436887,168427271.42,3719643.64,27644865.58,-390798.17,220755404.14,-40261306.57,-40216647.87,2025-08-30
136,688211,中科微至,-62480844.36,-1480.03377158517,1002045231.13,-25.4031886306,807455615.28,68153373.66,84145146.75,-4650620.78,1032682590.76,-47811037.27,-52631181.11,2025-08-30
137,688206,概伦电子,46178642.79,212.951177569052,218444679.91,11.4270476486,18260180.07,42179273.24,29232271.7,-993599.66,227375819.61,46817335.68,46925590.56,2025-08-30
138,688200,华峰测控,195783149.71,74.04,534455981.32,40.9901408662,135242386.96,79176238.0,29565926.08,-20241917.14,341004635.41,210857360.81,210824477.89,2025-08-30
139,688196,卓越新能,117361012.6,16.01,1311533922.33,-32.1245548687,1178087068.27,21616921.06,25182030.44,-20335204.49,1272255026.85,116335616.53,116370788.22,2025-08-30
140,688195,腾景科技,36588829.33,11.47,262877199.95,24.2860436859,164293717.48,7934510.09,19664448.26,2252797.2,225407798.6,42444700.89,42077523.01,2025-08-30
141,688193,仁度生物,2037965.98,-52.94,81242468.3,-6.2733065458,17680776.11,40134358.55,14156285.32,-799150.54,88783400.31,875849.58,764383.31,2025-08-30
142,688190,云路股份,169494115.5,1.51,985818054.07,8.2787403827,696688803.43,18022766.79,20665598.08,-1496880.49,795959719.13,195486233.85,195321993.35,2025-08-30
143,688186,广大特材,185097066.17,332.67,2534397638.82,34.7372036799,2009550717.1,11330396.65,86979510.69,84270981.71,2308963749.52,238020426.58,238883263.8,2025-08-30
144,688184,ST帕瓦,-158430651.56,52.61,239200390.48,-58.987325504,278990222.55,599239.95,44577940.56,-2177490.76,343241671.28,-155060301.0,-158123644.68,2025-08-30
